Fecha,Linea,LTS,KM,Consumo
2023-02-27,L143/136/137,2942.95,5360.93,54.8962586715365
2023-02-25,L143/136/137,2225.82,4415.262,50.4119574331036
2023-02-24,L143/136/137,2783.51,5106.244,54.5118877985463
2023-02-23,L143/136/137,2627.16,5385.003,48.7866023472967
2023-02-21,L143/136/137,1646.63,3553.56,46.3374756582132
2023-02-20,L143/136/137,1527.03,3548.31,43.0354168604209
2023-02-17,L143/136/137,2973.43,5844.005,50.8800043805575
2023-02-16,L143/136/137,2742.89,5405.706,50.7406433128254
2023-02-15,L143/136/137,2712.48,5281.907,51.3541794658634
2023-02-14,L101,1493.66,2934.876,50.893461938426
2023-02-13,L101,1492.3,3112.95,47.9384506657672
2023-02-10,L101,1298.16,2424.964,53.5331658531838
2023-02-09,L102/144,1517.06,3097.504,48.9768536214965
2023-02-08,L102/144,1614.26,3094.502,52.1654211243037
2023-02-07,L102/144,1577.18,3060.602,51.5316921311559
2023-02-06,L133/125,2651.4,5488.783,48.3057901906488
2023-02-02,L133/125,2164.81,5003.432,43.2665018731143
2023-01-31,L133/125,2410.41,5078.999,47.4583672885149
2023-01-27,L107,2924.12,5991.251,48.8065013467137
2023-01-26,L107,3683.38,6192.915,59.477322068848
2023-01-25,L102/144,1959.82,3771.988,51.957217255198
2023-01-24,L102/144,1760.69,4271.313,41.2212825423939
2023-01-03,L102/144,1486.87,3189.305,46.6205019588907
2022-12-29,L102/144,1558.31,3001.619,51.9156495211418
2022-12-28,L102/144,1658.52,3615.497,45.872531494287
2022-12-26,L102/144,1396.44,2831.724,49.3141280718036
2022-12-23,L102/144,1744.36,3701.115,47.1306619761883
2022-12-22,L102/144,2284.38,3935.262,58.0489939424618
2022-12-21,L102/144,2291.33,4193.72,54.6371717711245
2022-12-19,L102/144,2111.83,3873.492,54.5200558049429
